Country Name,Country Code,Counterpart-Area Name,Counterpart-Area Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Afghanistan,AFG,World,WLD,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,..,..,..,..,..,..,979344507.8,2023034713.1,2143951791.1,2480214113.7,2435844906,2485331046.1,2580631877.8,2587774889.5,2529865267.8,2596917266.2,2596050086.4,2751986638.9,2678760424.2,2661685956.5
Angola,AGO,World,WLD,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,9763465564.4,8776917205,9109536718.7,9099850424.4,9786029392.2,12223970246.7,9890493322.8,11926824534.7,15496995033.1,20168132589.1,26595584910.9,33961146294.9,44255661238.7,54932638464.9,56932310475.5,56269410212,56814989137.4,50917321660.3,51684805673.4,51997502840.3
Bangladesh,BGD,World,WLD,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,15600564697.1,14978802400.8,16687587182.1,18440377575.4,19714073691.8,18503086056.4,20160027977.8,21522562894.1,23341694039.6,25372390871.2,26566693370,27041276969.5,28273136806.8,31502704574.7,32661869972.9,35959560327,38474306270.6,46812349419.2,52131554985.5,57088329151.8
Benin,BEN,World,WLD,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,1399684851.6,1470316526.9,1608563110.7,1485978703.3,1620347439.1,1559629284.7,662231196.3,904957119.7,999435672,1327553869,1598555777.1,1866403076,1697688750.2,2024309007.2,2055433484.1,2191225852.7,2277862242.2,2816963964.3,3607450243.9,3898854015.1
Bhutan,BTN,World,WLD,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,211571982.8,272712510.2,386049931.1,493626169.2,601316819.9,656602174.2,721112613.6,801238273.2,693075804.2,786548880.3,934629272.1,1070492249.6,1449649049.9,1528150602.3,1841155641.3,2011104022.8,2289670352.4,2607949876.9,2551977085,2703286731.6
Burkina Faso,BFA,World,WLD,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,1437932410.2,1507804344,1554667581.2,1745974389.1,1931701209.8,2000595478.2,1131707064.9,1465673536.2,1584281199.3,1918438539.1,2151050013,2293951843.9,2524056091,2570910411.8,2550585685.7,2631937046.4,2825462079.3,3128873503.9,3285715189.6,3662434235.8
Burundi,BDI,World,WLD,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,1125869260.9,1093536451,1232214637.4,1348337839.1,1357933155.3,1287893069.1,1371901889.5,1409730477.1,1390288828.7,607230101.8,620923162,604409004.8,667315097.4,683609365,690167126.4,625980607.8,602774776.7,613972235.4,589342922.5,578351002.1
Cabo Verde,CPV,World,WLD,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,319703769.2,345641178.3,387894289.8,441401882.3,464179206.7,477481514.4,524173293.2,580579758.5,626140970.8,724582325.6,884596455.5,1041231867.4,1248581306.6,1492658762.2,1550676370.5,1550185095,1551733555.5,1789970312.7,1767451777.7,1821219111.3
Cambodia,KHM,World,WLD,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,2108290127.2,2178847689.5,2391328664.2,2681720223.8,2887808083.7,2931265765.5,3022016518.5,2237259081.3,2640021413.8,3294631329.7,3999257195.1,4646168730.3,6736051653.7,7605902952.5,8305563791.8,9423813773,10048547071.5,11414318563.9,13522187464.5,15318173630.6
Cameroon,CMR,World,WLD,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,10561281361.4,9748844313,10285903206,11408147625.6,10855782708.2,7700089817.9,3418558775.7,3085552120.7,2835553588.4,3237320906.9,3190178368.7,3094521348.4,3887910776.5,5177990626.2,5765541169.1,7304904667,7826795642.2,10009769229.5,10863980452.9,12815318440.7
